Row Labels,Average of NO2 Mean,Average of O3 Mean,Average of SO2 Mean,Average of CO Mean
36880,40.791667,0.004458,5.5604165,2.0104165
36881,45.791667,0.004042,6.0666665,1.8625
36882,41.041667,0.005875,6.6520835,2.020833
36883,35.458333,0.009583,4.9020835,2.025
36884,37.541667,0.009458,4.85,1.9270835
36885,22.875,0.016292,1.7375,1.579167
36886,26.956522,0.013042,1.0901515,0.714674
36887,35.666667,0.008208,3.4416665,1.2333335
36888,44.590909,0.00525,5.0869565,2.1774455
36889,50.318182,0.005125,6.6916665,2.3354165
36890,38.125,0.010458,5.35625,2.425
36891,36.666667,0.011263,5.2708335,1.86875
36892,36.25,0.006875,3.5666665,1.730921
36893,36.173913,0.007458,2.6192545,1.596105
36894,36.083333,0.012667,2.7041665,1.039583
36895,43.041667,0.011208,4.9416665,1.6395835
36896,42.5,0.00475,5.60625,2.1125
36897,36,0.005625,4.60625,1.977083
36898,32.333333,0.009583,3.6520835,1.5708335
36899,29.458333,0.012333,1.9083335,1.2125
36900,21.545455,0.008167,0.5954545,0.7075755
36901,26.458333,0.006958,1.4479165,0.845833
36902,22.190476,0.017458,0.4583335,0.5303445
36903,26.125,0.015167,0,0.402841
36904,28.958333,0.010625,0.9083335,0.95
36905,31.166667,0.009667,2.3166665,1.6354165
36906,25.041667,0.015458,1.0729165,0.8958335
36907,27.227273,0.008375,0.1551945,0.5047345
36908,36.652174,0.00825,1.597826,1.1333335
36909,41.75,0.009625,1.9875,1.110417
36910,38.75,0.011083,2.2375,1.3354165
36911,44,0.008583,3.1458335,1.7520835
36912,32.166667,0.015083,1.35625,1.2208335
36913,33.791667,0.011625,1.6916665,0.6625
36914,35.5,0.009556,3.519048,1.2875
36915,35.958333,0.011333,4.0604165,1.366667
36916,31.73913,0.01475,1.215909,0.924547
36917,32.5,0.007292,3.3166665,0.9625
36918,21.625,0.018292,0.1645835,0.4166665
36919,25,0.01575,0.4479165,0.5104165
36920,30.809524,0.01175,2.5522725,1.3922345
36921,31.772727,0.010235,2.0551945,1.177462
36922,38.041667,0.0075,4.0270835,1.2875
36923,35.25,0.009708,3.0208335,0.98125
